,PLAYER_ID,SEASON_ID,LEAGUE_ID,TEAM_ID,TEAM_ABBREVIATION,PLAYER_AGE,GP,GS,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,5Y,Longevity,Longevity in drafted franchise
Trey Lyles,1626168,2015,00,1610612762,UTA,20.0,80,33,17.275,2.3875,5.45,0.438,0.6125,1.6,0.383,0.7125,1.025,0.695,0.7375,3.0,3.7375,0.7375,0.325,0.225,0.8125,1.425,6.1,True,10,2
George Lynch,248,1993,00,1610612747,LAL,23.0,71,46,24.816901408450704,4.098591549295775,8.070422535211268,0.508,0.0,0.07042253521126761,0.0,1.3943661971830985,2.3380281690140845,0.596,3.0985915492957745,2.676056338028169,5.774647887323944,1.352112676056338,1.4366197183098592,0.38028169014084506,1.2253521126760563,2.492957746478873,9.591549295774648,True,12,3
Kevin Lynch,77426,1991,00,1610612766,CHH,23.0,55,3,14.89090909090909,1.690909090909091,4.054545454545455,0.417,0.05454545454545454,0.14545454545454545,0.375,0.6363636363636364,0.8363636363636363,0.761,0.5454545454545454,1.0,1.5454545454545454,1.509090909090909,0.6727272727272727,0.16363636363636364,0.8,1.9454545454545455,4.072727272727272,False,2,2
Mike Lynn,77427,1969,00,1610612747,LAL,24.0,44,0,9.159090909090908,1.0,3.022727272727273,0.331,0.0,0.0,0,0.7045454545454546,1.0909090909090908,0.646,0.0,0.0,1.4545454545454546,0.6818181818181818,0.0,0.0,0.0,1.9772727272727273,2.7045454545454546,False,2,1
Sheldon Mac,1627815,2016,00,1610612764,WAS,24.0,30,3,9.566666666666666,1.0,2.5,0.4,0.23333333333333334,1.0,0.233,0.7666666666666667,0.9,0.852,0.13333333333333333,1.0,1.1333333333333333,0.5,0.26666666666666666,0.06666666666666667,0.16666666666666666,0.5666666666666667,3.0,False,1,1
Todd MacCulloch,1928,1999,00,1610612755,PHI,24.0,56,6,9.428571428571429,1.5892857142857142,2.875,0.553,0.0,0.0,0.0,0.5,0.9642857142857143,0.519,0.8571428571428571,1.75,2.607142857142857,0.23214285714285715,0.19642857142857142,0.6607142857142857,0.4642857142857143,1.6785714285714286,3.6785714285714284,False,4,3
Ronnie MacGilvray,77430,1954,00,1610612737,MIH,24.0,6,0,9.5,0.3333333333333333,2.0,0.167,0.0,0.0,0,0.6666666666666666,1.1666666666666667,0.571,0.0,0.0,1.5,1.8333333333333333,0.0,0.0,0.0,0.8333333333333334,1.3333333333333333,False,1,1
Don MacLean,931,1992,00,1610612764,WAS,23.0,62,4,10.870967741935484,2.532258064516129,5.82258064516129,0.435,0.04838709677419355,0.0967741935483871,0.5,1.4516129032258065,1.7903225806451613,0.811,0.532258064516129,1.435483870967742,1.967741935483871,0.6290322580645161,0.1774193548387097,0.06451612903225806,0.6774193548387096,1.3225806451612903,6.564516129032258,True,9,3
Mike Macaluso,77428,1973,00,1610612746,BUF,22.0,30,0,3.7333333333333334,0.6333333333333333,1.4666666666666666,0.432,0.0,0.0,0,0.3333333333333333,0.5666666666666667,0.588,0.3333333333333333,0.5,0.8333333333333334,0.1,0.23333333333333334,0.03333333333333333,0.0,1.0333333333333334,1.6,False,1,1
Ed Macauley,77429,1949,00,1610610034,BOM,22.0,67,0,0.0,5.2388059701492535,13.164179104477611,0.398,0.0,0.0,0,5.656716417910448,7.880597014925373,0.718,0.0,0.0,0.0,2.985074626865672,0.0,0.0,0.0,3.298507462686567,16.134328358208954,True,10,1
Scott Machado,203159,2012,00,1610612745,HOU,23.0,6,0,3.5,0.5,1.0,0.5,0.0,0.16666666666666666,0.0,0.3333333333333333,0.3333333333333333,1.0,0.0,0.16666666666666666,0.16666666666666666,1.0,0.3333333333333333,0.0,1.3333333333333333,0.0,1.3333333333333333,False,2,1
Arvydas Macijauskas,101178,2005,00,1610612740,NOK,26.0,19,0,7.105263157894737,0.7368421052631579,2.1578947368421053,0.341,0.15789473684210525,0.631578947368421,0.25,0.6842105263157895,0.7894736842105263,0.867,0.15789473684210525,0.3684210526315789,0.5263157894736842,0.2631578947368421,0.3684210526315789,0.0,0.42105263157894735,0.5263157894736842,2.3157894736842106,False,1,1
Ollie Mack,77432,1979,00,1610612747,LAL,23.0,27,0,5.7407407407407405,0.7777777777777778,1.8518518518518519,0.42,0.0,0.037037037037037035,0.0,0.3333333333333333,0.6666666666666666,0.5,0.25925925925925924,0.5555555555555556,0.8148148148148148,0.7407407407407407,0.14814814814814814,0.0,0.3333333333333333,0.5925925925925926,1.8888888888888888,False,3,1
Sam Mack,694,1992,00,1610612759,SAN,23.0,40,0,6.675,1.175,2.95,0.398,0.075,0.55,0.136,1.125,1.45,0.776,0.45,0.75,1.2,0.375,0.35,0.125,0.55,1.1,3.55,True,7,1
Shelvin Mack,202714,2011,00,1610612764,WAS,22.0,64,0,12.171875,1.375,3.4375,0.4,0.1875,0.65625,0.286,0.65625,0.921875,0.712,0.1875,1.25,1.4375,2.046875,0.4375,0.03125,0.75,0.78125,3.59375,True,8,2
Malcolm Mackey,1635,1993,00,1610612756,PHX,23.0,22,0,3.1363636363636362,0.6363636363636364,1.6818181818181819,0.378,0.0,0.09090909090909091,0.0,0.18181818181818182,0.36363636363636365,0.5,0.5454545454545454,0.5454545454545454,1.0909090909090908,0.045454545454545456,0.0,0.13636363636363635,0.09090909090909091,0.4090909090909091,1.4545454545454546,False,1,1
Rudy Macklin,77435,1981,00,1610612737,ATL,24.0,79,32,19.189873417721518,2.6582278481012658,6.1265822784810124,0.434,0.0,0.0379746835443038,0.0,1.6962025316455696,2.189873417721519,0.775,1.4303797468354431,1.8987341772151898,3.329113924050633,0.5949367088607594,0.5063291139240507,0.25316455696202533,1.4177215189873418,2.848101265822785,7.012658227848101,False,3,2
Vernon Macklin,202731,2011,00,1610612765,DET,25.0,23,0,5.869565217391305,0.8260869565217391,1.5217391304347827,0.543,0.0,0.0,0.0,0.34782608695652173,0.6086956521739131,0.571,0.6086956521739131,0.8695652173913043,1.4782608695652173,0.21739130434782608,0.17391304347826086,0.17391304347826086,0.13043478260869565,0.391304347826087,2.0,False,1,1
